rank,ranking-institution-title,location,Overall scores,Research Quality Score,Industry Score,International Outlook,Research Environment Score,Teaching Score
121,Tongji University,China,52.3–55.6,81.7,71.9,90.9,36.6,35.5
122,University of Twente,Netherlands,52.3–55.6,83.1,99.9,90.1,34.6,29.9
123,University of Vienna,Austria,52.3–55.6,62.7,61.2,91.8,48.3,41.6
124,Vrije Universiteit Amsterdam,Netherlands,52.3–55.6,76.1,63.4,82.4,48.2,37.1
125,University of Auckland,New Zealand,49.3–52.2,75.7,68.9,92.2,33.1,32.7
126,Autonomous University of Barcelona,Spain,49.3–52.2,77.2,51.7,74.9,35,40.9
127,University of Bath,United Kingdom,49.3–52.2,79.9,49.1,95.3,32.4,33.5
128,Beihang University,China,49.3–52.2,80.2,88.4,64.6,27.8,37.3
129,Beijing Institute of Technology,China,49.3–52.2,97.8,55.1,61.9,29.2,35.6
130,University of Cologne,Germany,49.3–52.2,63.3,94.9,62.4,43.9,37.3
131,Free University of Berlin,Germany,49.3–52.2,66.4,78,63.5,42.2,38.8
132,University of Georgia,United States,49.3–52.2,79.7,67.4,40.4,43.9,31.1
133,Ghent University,Belgium,49.3–52.2,81.5,91.8,53.4,36.4,34.3
134,Griffith University,Australia,49.3–52.2,80.2,74,86.1,34.8,33.9
135,Institut Polytechnique de Paris,France,49.3–52.2,47.3,66.3,83.8,43.5,47
136,Lappeenranta-Lahti University of Technology LUT,Finland,49.3–52.2,97.9,49.9,48,34.6,25.9
137,Loughborough University,United Kingdom,49.3–52.2,77.5,67.8,92.7,30.3,34.3
138,Macquarie University,Australia,49.3–52.2,82.5,94.2,88.1,32.2,28.2
139,University of Malaya,Malaysia,49.3–52.2,65.1,76.8,69.1,38.8,39.2
140,RMIT University,Australia,49.3–52.2,79.1,75.8,88.9,31.8,30.6
141,Sant’Anna School of Advanced Studies – Pisa,Italy,49.3–52.2,92,79,47.3,31.4,33.3
142,University of Sheffield,United Kingdom,49.3–52.2,85,54,92.9,30,30.8
143,University of Technology Sydney,Australia,49.3–52.2,78,66,89.4,36.8,27.9
144,University College Dublin,Ireland,49.3–52.2,82.2,63.4,84.9,32.5,28.9
145,Vanderbilt University,United States,49.3–52.2,69.8,67.4,57.5,30.9,49.5
146,Washington University in St Louis,United States,49.3–52.2,82.4,64.8,86.3,30.4,34
147,The University of Western Australia,Australia,49.3–52.2,82.1,70.7,91.4,30.5,33
148,Wuhan University,China,49.3–52.2,88.7,79.4,51.9,27.3,35.2
149,University of York,United Kingdom,49.3–52.2,62.9,41.4,92.2,39.8,38.4
150,University of Bayreuth,Germany,47.4–49.2,83.8,86.1,57.4,35.2,27.1
151,Beijing Normal University,China,47.4–49.2,81.5,75.7,66.4,31.3,31.1
152,Cardiff University,United Kingdom,47.4–49.2,74.8,65,87.2,29.3,29.5
153,University of Erlangen-Nuremberg,Germany,47.4–49.2,80.1,100,42.3,36.5,30.3
154,University of Essex,United Kingdom,47.4–49.2,83.3,39.9,97.4,30.3,27.7
155,Georgia State University,United States,47.4–49.2,72.8,68.2,68.7,31.9,33.5
156,King Abdulaziz University,Saudi Arabia,47.4–49.2,90.3,37.8,71.2,26,31.3
157,Korea Advanced Institute of Science and Technology (KAIST),South Korea,47.4–49.2,55.5,82.4,45.1,40.1,46.5
158,Kyung Hee University,South Korea,47.4–49.2,74.9,96.5,85.3,29,26.5
159,University of Newcastle,Australia,47.4–49.2,94.5,41.4,92.1,22.7,23.4
160,"Northeastern University, US",United States,47.4–49.2,81.6,53.9,80.8,25.1,32.9
161,Paris Sciences et Lettres – PSL Research University Paris,France,47.4–49.2,52.6,83.6,58.2,46.6,42
162,Universiti Putra Malaysia,Malaysia,47.4–49.2,64.3,78.2,81.7,38.2,32
163,Universiti Sains Malaysia,Malaysia,47.4–49.2,76.1,60.5,63.1,32.7,36.6
164,Sejong University,South Korea,47.4–49.2,95.1,61.6,70.4,22.2,27.6
165,University of Southern Denmark,Denmark,47.4–49.2,86.2,65.1,81.4,28.1,24.5
166,Stockholm University,Sweden,47.4–49.2,72,82.4,59.2,43.9,27.8
167,Sun Yat-sen University,China,47.4–49.2,81.2,90.1,57.1,30.8,30.8
168,Swansea University,United Kingdom,47.4–49.2,97.1,66.7,89,23.8,19.9
169,Swinburne University of Technology,Australia,47.4–49.2,93.2,61.1,80,22.9,24.9
170,Technical University of Berlin,Germany,47.4–49.2,70.6,99.2,50.3,39,31.8
171,Temple University,United States,47.4–49.2,82.5,60.2,53.5,30.3,34.4
172,Tianjin University,China,47.4–49.2,73.2,93.1,57.8,33,35.4
173,Ural Federal University,,47.4–49.2,76.3,50,78.5,33,29.1
174,University of Waikato,New Zealand,47.4–49.2,91.7,73.9,95.4,23.7,21.2
